"year" "title" "gross" "budget" "leng" "score" "profit"
2009 "The Informant!" 33.316821 22 108 79 11.316821
2009 "Love Happens" 22.96511 18 109 16 4.96511
2009 "Cloudy with a Chance of Meatballs" 124.870275 100 81 87 24.870275
2009 "Tyler Perry's I Can Do Bad All By Myself" 51.733921 19 113 63 32.733921
2009 "Whiteout" 10.275638 35 106 7 -24.724362
2009 "Sorority Row" 11.965282 12.5 101 22 -0.534718
2009 "9" 31.749894 30 79 57 1.749894
2009 "All About Steve" 33.862903 15 99 7 18.862903
2009 "Extract" 10.823158 7.5 90 63 3.323158
2009 "Gamer" 20.534907 50 95 29 -29.465093
2009 "Halloween II" 33.392973 15 101 20 18.392973
2009 "The Final Destination" 66.4777 40 82 29 26.4777
2009 "Post Grad" 6.380019 15 89 8 -8.619981
2009 "Inglourious Basterds" 120.540719 70 152 88 50.540719
2009 "Shorts" 20.919166 20 89 45 0.919166000000001
2009 "District 9" 115.646235 30 113 90 85.646235
2009 "The Goods: Live Hard, Sell Hard" 15.122676 10 89 27 5.122676
2009 "The Time Traveler's Wife" 63.414846 39 108 37 24.414846
2009 "Bandslam" 5.210988 20 111 81 -14.789012
2009 "Julie and Julia" 94.125426 40 123 75 54.125426
2009 "A Perfect Getaway" 15.51546 14 97 60 1.51546
2009 "G.I. Joe: Rise of the Cobra" 150.201498 175 118 35 -24.798502
2009 "Aliens in the Attic" 25.200412 45 86 31 -19.799588
2009 "Funny People" 51.855045 72.5 136 68 -20.644955
2009 "Orphan" 41.596251 20 123 55 21.596251
2009 "G-Force" 119.43677 150 90 22 -30.56323
2009 "The Ugly Truth" 88.915214 38 96 12 50.915214
2009 "Harry Potter and the Half-Blood Prince" 301.959197 250 153 84 51.959197
2009 "I Love You Beth Cooper" 14.800725 18 102 14 -3.199275
2009 "Ice Age: Dawn of the Dinosaurs" 196.573705 90 87 45 106.573705
2009 "Public Enemies" 97.10462 102.5 143 68 -5.39538
2009 "My Sister's Keeper" 49.20023 27.5 106 48 21.70023
2009 "Transformers: Revenge of the Fallen" 402.11187 210 144 19 192.11187
2009 "Year One" 43.337279 60 100 14 -16.662721
2009 "The Proposal" 163.958031 40 108 44 123.958031
2009 "The Taking of Pelham 123" 65.452312 110 121 51 -44.547688
2009 "Imagine That" 16.123323 55 107 40 -38.876677
2009 "The Hangover" 277.322503 35 96 79 242.322503
2009 "Land of the Lost" 49.43837 100 93 26 -50.56163
2009 "Up" 293.004164 175 96 98 118.004164
2009 "Drag Me to Hell" 42.100625 30 99 92 12.100625
2009 "Night at the Museum 2" 177.243721 150 105 44 27.243721
2009 "Dance Flick" 25.662155 25 83 18 0.662154999999998
2009 "Terminator Salvation" 125.322469 200 114 33 -74.677531
2009 "Angels & Demons" 133.375846 150 140 37 -16.624154
2009 "Star Trek" 257.730019 140 126 95 117.730019
2009 "X-Men Origins: Wolverine" 179.883157 150 107 38 29.883157
2009 "The Soloist" 31.720158 60 109 56 -28.279842
2009 "Obsessed" 68.261644 20 105 19 48.261644
2009 "earth" 32.011576 15 90 87 17.011576
2009 "Crank 2: High Voltage" 13.684249 20 85 63 -6.315751
2009 "17 Again" 64.167069 40 102 55 24.167069
2009 "State of Play" 37.017955 60 118 84 -22.982045
2009 "Dragonball Evolution" 9.362785 30 100 14 -20.637215
2009 "Observe and Report" 24.007324 18 106 51 6.007324
2009 "Hannah Montana: The Movie" 79.576189 30 92 44 49.576189
2009 "Fast & Furious" 155.064265 85 99 27 70.064265
2009 "Adventureland" 16.044025 9.8 106 89 6.244025
2009 "Monsters vs. Aliens" 198.351526 175 94 72 23.351526
